5,26.28,12.36
10,34.53,13.95
15,39.32,15.81
20,43.49,17.68
25,46.22,16.9
30,49.11,17.75
35,50.06,17.69
40,50.62,18.4
45,52.54,17.9
50,54.14,18.53
5,27.19,19.56
10,35.71,17.51
15,41.59,18.26
20,45.36,17.78
25,48.05,17.54
30,51.34,19.28
35,53.03,19.52
40,55.72,20.5
45,56.67,20.97
50,57.86,20.57
5,25.28,17.04
10,39.02,14.84
15,43.66,15.19
20,46.52,14.48
25,50.24,15.26
30,52.81,16.2
35,54.47,15.62
40,55.81,15.34
45,57.35,16.69
50,58.45,18.46
5,21.3,19.4
10,32.8,26.76
15,36.91,30.69
20,39.73,32.43
25,41.92,34.21
30,44.39,35.35
35,47.04,36.74
40,48.46,37.62
45,49.9,38.17
50,50.91,39.04
